Animal,Wins,Loses
Aardvark,0,0
Albatross,0,0
Alligator,0,0
Alpaca,0,0
Ant,0,0
Anteater,0,0
Antelope,0,0
Ape,0,0
Armadillo,0,0
Donkey,0,0
Baboon,0,0
Badger,0,0
Barracuda,0,0
Bat,0,0
Bear,0,0
Beaver,0,0
Bee,0,0
Bison,0,0
Boar,0,0
Buffalo,0,0
Butterfly,0,0
Camel,0,0
Capybara,0,0
Caribou,0,0
Cassowary,0,0
Cat,0,0
Caterpillar,0,0
Cattle,0,0
Chamois,0,0
Cheetah,0,0
Chicken,0,0
Chimpanzee,0,0
Chinchilla,0,0
Chough,0,0
Clam,0,0
Cobra,0,0
Cockroach,0,0
Cod,0,0
Cormorant,0,0
Coyote,0,0
Crab,0,0
Crane,0,0
Crocodile,0,0
Crow,0,0
Curlew,0,0
Deer,0,0
Dinosaur,0,0
Dog,0,0
Dogfish,0,0
Dolphin,0,0
Dotterel,0,0
Dove,0,0
Dragonfly,0,0
Duck,0,0
Dugong,0,0
Dunlin,0,0
Eagle,0,0
Echidna,0,0
Eel,0,0
Eland,0,0
Elephant,0,0
Elk,0,0
Emu,0,0
Falcon,0,0
Ferret,0,0
Finch,0,0
Fish,0,0
Flamingo,0,0
Fly,0,0
Fox,0,0
Frog,0,0
Gaur,0,0
Gazelle,0,0
Gerbil,0,0
Giraffe,0,0
Gnat,0,0
Gnu,0,0
Goat,0,0
Goldfinch,0,0
Goldfish,0,0
Goose,0,0
Gorilla,0,0
Goshawk,0,0
Grasshopper,0,0
Grouse,0,0
Guanaco,0,0
Gull,0,0
Hamster,0,0
Hare,0,0
Hawk,0,0
Hedgehog,0,0
Heron,0,0
Herring,0,0
Hippopotamus,0,0
Hornet,0,0
Horse,0,0
Human,0,0
Hummingbird,0,0
Hyena,0,0
Ibex,0,0
Ibis,0,0
Jackal,0,0
Jaguar,0,0
Jay,0,0
Jellyfish,0,0
Kangaroo,0,0
Kingfisher,0,0
Koala,0,0
Kookabura,0,0
Kouprey,0,0
Kudu,0,0
Lapwing,0,0
Lark,0,0
Lemur,0,0
Leopard,0,0
Lion,0,0
Llama,0,0
Lobster,0,0
Locust,0,0
Loris,0,0
Louse,0,0
Lyrebird,0,0
Magpie,0,0
Mallard,0,0
Manatee,0,0
Mandrill,0,0
Mantis,0,0
Marten,0,0
Meerkat,0,0
Mink,0,0
Mole,0,0
Mongoose,0,0
Monkey,0,0
Moose,0,0
Mosquito,0,0
Mouse,0,0
Mule,0,0
Narwhal,0,0
Newt,0,0
Nightingale,0,0
Octopus,0,0
Okapi,0,0
Opossum,0,0
Oryx,0,0
Ostrich,0,0
Otter,0,0
Owl,0,0
Oyster,0,0
Panther,0,0
Parrot,0,0
Partridge,0,0
Peafowl,0,0
Pelican,0,0
Penguin,0,0
Pheasant,0,0
Pig,0,0
Pigeon,0,0
Pony,0,0
Porcupine,0,0
Porpoise,0,0
Quail,0,0
Quelea,0,0
Quetzal,0,0
Rabbit,0,0
Raccoon,0,0
Rail,0,0
Ram,0,0
Rat,0,0
Raven,0,0
Red deer,0,0
Red panda,0,0
Reindeer,0,0
Rhinoceros,0,0
Rook,0,0
Salamander,0,0
Salmon,0,0
Sand Dollar,0,0
Sandpiper,0,0
Sardine,0,0
Scorpion,0,0
Seahorse,0,0
Seal,0,0
Shark,0,0
Sheep,0,0
Shrew,0,0
Skunk,0,0
Snail,0,0
Snake,0,0
Sparrow,0,0
Spider,0,0
Spoonbill,0,0
Squid,0,0
Squirrel,0,0
Starling,0,0
Stingray,0,0
Stinkbug,0,0
Stork,0,0
Swallow,0,0
Swan,0,0
Tapir,0,0
Tarsier,0,0
Termite,0,0
Tiger,0,0
Toad,0,0
Trout,0,0
Turkey,0,0
Turtle,0,0
Viper,0,0
Vulture,0,0
Wallaby,0,0
Walrus,0,0
Wasp,0,0
Weasel,0,0
Whale,0,0
Wildcat,0,0
Wolf,0,0
Wolverine,0,0
Wombat,0,0
Woodcock,0,0
Woodpecker,0,0
Worm,0,0
Wren,0,0
Yak,0,0
Zebra,0,0